Episode 161, Exploration Rate: 0.45, Win :False, Lose :True , Reward: -5234
Episode 162, Exploration Rate: 0.44, Win :False, Lose :True , Reward: -3804
Episode 163, Exploration Rate: 0.44, Win :False, Lose :True , Reward: -950
Episode 164, Exploration Rate: 0.44, Win :False, Lose :True , Reward: -403
Episode 165, Exploration Rate: 0.44, Win :False, Lose :True , Reward: -4337
Episode 166, Exploration Rate: 0.44, Win :False, Lose :True , Reward: -3313
Episode 167, Exploration Rate: 0.43, Win :False, Lose :True , Reward: -859
Episode 168, Exploration Rate: 0.43, Win :False, Lose :True , Reward: -2109
Episode 169, Exploration Rate: 0.43, Win :False, Lose :True , Reward: -6617
Episode 170, Exploration Rate: 0.43, Win :False, Lose :True , Reward: -1758
Episode 171, Exploration Rate: 0.42, Win :False, Lose :True , Reward: -1870
Episode 172, Exploration Rate: 0.42, Win :False, Lose :True , Reward: -3304
Episode 173, Exploration Rate: 0.42, Win :False, Lose :True , Reward: -4353
Episode 174, Exploration Rate: 0.42, Win :False, Lose :True , Reward: -2509
Episode 175, Exploration Rate: 0.42, Win :False, Lose :True , Reward: -1892
Episode 176, Exploration Rate: 0.41, Win :False, Lose :True , Reward: -575
Episode 177, Exploration Rate: 0.41, Win :False, Lose :True , Reward: -1664
Episode 178, Exploration Rate: 0.41, Win :False, Lose :True , Reward: -2022
Episode 179, Exploration Rate: 0.41, Win :False, Lose :True , Reward: -6359
Episode 180, Exploration Rate: 0.41, Win :False, Lose :True , Reward: -4645
Episode 181, Exploration Rate: 0.40, Win :False, Lose :True , Reward: -335
Episode 182, Exploration Rate: 0.40, Win :False, Lose :True , Reward: -1039
Episode 183, Exploration Rate: 0.40, Win :False, Lose :True , Reward: -2335
Episode 184, Exploration Rate: 0.40, Win :False, Lose :True , Reward: -1117
Episode 185, Exploration Rate: 0.40, Win :False, Lose :True , Reward: -7329
Episode 186, Exploration Rate: 0.39, Win :False, Lose :True , Reward: -2149
Episode 187, Exploration Rate: 0.39, Win :False, Lose :True , Reward: -4015
Episode 188, Exploration Rate: 0.39, Win :False, Lose :True , Reward: -1202
Episode 189, Exploration Rate: 0.39, Win :False, Lose :True , Reward: -648
Episode 190, Exploration Rate: 0.39, Win :False, Lose :True , Reward: -1258
Episode 191, Exploration Rate: 0.38, Win :False, Lose :True , Reward: -1737
Episode 192, Exploration Rate: 0.38, Win :False, Lose :True , Reward: -5102
Episode 193, Exploration Rate: 0.38, Win :False, Lose :True , Reward: -1022
Episode 194, Exploration Rate: 0.38, Win :False, Lose :True , Reward: -8081
Episode 195, Exploration Rate: 0.38, Win :False, Lose :True , Reward: -292
Episode 196, Exploration Rate: 0.37, Win :False, Lose :True , Reward: -2750
Episode 197, Exploration Rate: 0.37, Win :False, Lose :True , Reward: -284
Episode 198, Exploration Rate: 0.37, Win :False, Lose :True , Reward: -889
Episode 199, Exploration Rate: 0.37, Win :False, Lose :True , Reward: -265
Episode 200, Exploration Rate: 0.37, Win :False, Lose :True , Reward: -4010
Episode 201, Exploration Rate: 0.37, Win :False, Lose :True , Reward: -766
Episode 202, Exploration Rate: 0.36, Win :False, Lose :True , Reward: -414
Episode 203, Exploration Rate: 0.36, Win :False, Lose :True , Reward: -1189
Episode 204, Exploration Rate: 0.36, Win :False, Lose :True , Reward: -2350
Episode 205, Exploration Rate: 0.36, Win :False, Lose :True , Reward: -1198
Episode 206, Exploration Rate: 0.36, Win :False, Lose :True , Reward: -1775
Episode 207, Exploration Rate: 0.35, Win :False, Lose :True , Reward: -3231
Episode 208, Exploration Rate: 0.35, Win :False, Lose :True , Reward: -1398
Episode 209, Exploration Rate: 0.35, Win :False, Lose :True , Reward: -4832
Episode 210, Exploration Rate: 0.35, Win :False, Lose :True , Reward: -2265
Episode 211, Exploration Rate: 0.35, Win :False, Lose :True , Reward: -7073
Episode 212, Exploration Rate: 0.35, Win :False, Lose :True , Reward: -956
Episode 213, Exploration Rate: 0.34, Win :False, Lose :True , Reward: -1323
Episode 214, Exploration Rate: 0.34, Win :False, Lose :True , Reward: 10
Episode 215, Exploration Rate: 0.34, Win :False, Lose :True , Reward: -889
Episode 216, Exploration Rate: 0.34, Win :False, Lose :True , Reward: -1054
Episode 217, Exploration Rate: 0.34, Win :False, Lose :True , Reward: -3474
Episode 218, Exploration Rate: 0.34, Win :False, Lose :True , Reward: -2963
Episode 219, Exploration Rate: 0.33, Win :False, Lose :True , Reward: -961
Episode 220, Exploration Rate: 0.33, Win :False, Lose :True , Reward: -1837
Episode 221, Exploration Rate: 0.33, Win :False, Lose :True , Reward: -2898
Episode 222, Exploration Rate: 0.33, Win :False, Lose :True , Reward: -1209
Episode 223, Exploration Rate: 0.33, Win :False, Lose :True , Reward: -10167
Episode 224, Exploration Rate: 0.33, Win :False, Lose :True , Reward: -6648
Episode 225, Exploration Rate: 0.32, Win :False, Lose :True , Reward: -1114
Episode 226, Exploration Rate: 0.32, Win :False, Lose :True , Reward: -513
Episode 227, Exploration Rate: 0.32, Win :False, Lose :True , Reward: -755
Episode 228, Exploration Rate: 0.32, Win :False, Lose :True , Reward: -1255
Episode 229, Exploration Rate: 0.32, Win :False, Lose :True , Reward: -4686
Episode 230, Exploration Rate: 0.32, Win :False, Lose :True , Reward: -178
Episode 231, Exploration Rate: 0.31, Win :False, Lose :True , Reward: -3810
Episode 232, Exploration Rate: 0.31, Win :False, Lose :True , Reward: -101
Episode 233, Exploration Rate: 0.31, Win :False, Lose :True , Reward: -5693
Episode 234, Exploration Rate: 0.31, Win :False, Lose :True , Reward: -4285
Episode 235, Exploration Rate: 0.31, Win :False, Lose :True , Reward: -216
Episode 236, Exploration Rate: 0.31, Win :False, Lose :True , Reward: -2641
Episode 237, Exploration Rate: 0.30, Win :False, Lose :True , Reward: -4729
Episode 238, Exploration Rate: 0.30, Win :False, Lose :True , Reward: -5320
Episode 239, Exploration Rate: 0.30, Win :False, Lose :True , Reward: -3611
Episode 240, Exploration Rate: 0.30, Win :False, Lose :True , Reward: -8343
Episode 241, Exploration Rate: 0.30, Win :False, Lose :True , Reward: -782
Episode 242, Exploration Rate: 0.30, Win :False, Lose :True , Reward: -3519
Episode 243, Exploration Rate: 0.30, Win :False, Lose :True , Reward: -1490
Episode 244, Exploration Rate: 0.29, Win :False, Lose :True , Reward: -1056
Episode 245, Exploration Rate: 0.29, Win :False, Lose :True , Reward: -1636
Episode 246, Exploration Rate: 0.29, Win :False, Lose :True , Reward: -5892
