Episode 67, Exploration Rate: 0.71, Win :False, Lose :True , Reward: -2505
Episode 68, Exploration Rate: 0.71, Win :False, Lose :True , Reward: -4793
Episode 69, Exploration Rate: 0.71, Win :False, Lose :True , Reward: -1437
Episode 70, Exploration Rate: 0.70, Win :False, Lose :True , Reward: -154
Episode 71, Exploration Rate: 0.70, Win :False, Lose :True , Reward: -449
Episode 72, Exploration Rate: 0.70, Win :False, Lose :True , Reward: -2283
Episode 73, Exploration Rate: 0.69, Win :False, Lose :True , Reward: -836
Episode 74, Exploration Rate: 0.69, Win :False, Lose :True , Reward: -2689
Episode 75, Exploration Rate: 0.69, Win :False, Lose :True , Reward: -4631
Episode 76, Exploration Rate: 0.68, Win :False, Lose :True , Reward: -478
Episode 77, Exploration Rate: 0.68, Win :False, Lose :True , Reward: -7792
Episode 78, Exploration Rate: 0.68, Win :False, Lose :True , Reward: -5120
Episode 79, Exploration Rate: 0.67, Win :False, Lose :True , Reward: -1347
Episode 80, Exploration Rate: 0.67, Win :False, Lose :True , Reward: -10105
Episode 81, Exploration Rate: 0.67, Win :False, Lose :True , Reward: -11043
Episode 82, Exploration Rate: 0.66, Win :False, Lose :True , Reward: -3630
Episode 83, Exploration Rate: 0.66, Win :False, Lose :True , Reward: -17412
Episode 84, Exploration Rate: 0.66, Win :False, Lose :True , Reward: -2064
Episode 85, Exploration Rate: 0.65, Win :False, Lose :True , Reward: -2815
Episode 86, Exploration Rate: 0.65, Win :False, Lose :True , Reward: -6798
Episode 87, Exploration Rate: 0.65, Win :False, Lose :True , Reward: -690
Episode 88, Exploration Rate: 0.64, Win :False, Lose :True , Reward: -7812
Episode 89, Exploration Rate: 0.64, Win :False, Lose :True , Reward: -275
Episode 90, Exploration Rate: 0.64, Win :False, Lose :True , Reward: -1796
Episode 91, Exploration Rate: 0.63, Win :False, Lose :True , Reward: -3400
Episode 92, Exploration Rate: 0.63, Win :False, Lose :True , Reward: -3892
Episode 93, Exploration Rate: 0.63, Win :False, Lose :True , Reward: -1802
Episode 94, Exploration Rate: 0.62, Win :False, Lose :True , Reward: -729
Episode 95, Exploration Rate: 0.62, Win :False, Lose :True , Reward: -6997
Episode 96, Exploration Rate: 0.62, Win :False, Lose :True , Reward: -3812
Episode 97, Exploration Rate: 0.61, Win :False, Lose :True , Reward: -852
Episode 98, Exploration Rate: 0.61, Win :False, Lose :True , Reward: -341
Episode 99, Exploration Rate: 0.61, Win :False, Lose :True , Reward: -1655
Episode 100, Exploration Rate: 0.61, Win :False, Lose :True , Reward: -6613
Episode 101, Exploration Rate: 0.60, Win :False, Lose :True , Reward: -2532
Episode 102, Exploration Rate: 0.60, Win :False, Lose :True , Reward: -52
Episode 103, Exploration Rate: 0.60, Win :False, Lose :True , Reward: -473
Episode 104, Exploration Rate: 0.59, Win :False, Lose :True , Reward: -1064
Episode 105, Exploration Rate: 0.59, Win :False, Lose :True , Reward: -1778
Episode 106, Exploration Rate: 0.59, Win :False, Lose :True , Reward: -714
Episode 107, Exploration Rate: 0.58, Win :False, Lose :True , Reward: -1634
Episode 108, Exploration Rate: 0.58, Win :False, Lose :True , Reward: -751
Episode 109, Exploration Rate: 0.58, Win :False, Lose :True , Reward: -8901
Episode 110, Exploration Rate: 0.58, Win :False, Lose :True , Reward: -1591
Episode 111, Exploration Rate: 0.57, Win :False, Lose :True , Reward: -2536
Episode 112, Exploration Rate: 0.57, Win :False, Lose :True , Reward: -4436
Episode 113, Exploration Rate: 0.57, Win :False, Lose :True , Reward: -5964
Episode 114, Exploration Rate: 0.56, Win :False, Lose :True , Reward: -11125
Episode 115, Exploration Rate: 0.56, Win :False, Lose :True , Reward: -735
Episode 116, Exploration Rate: 0.56, Win :False, Lose :True , Reward: -60
Episode 117, Exploration Rate: 0.56, Win :False, Lose :True , Reward: -394
Episode 118, Exploration Rate: 0.55, Win :False, Lose :True , Reward: -536
Episode 119, Exploration Rate: 0.55, Win :False, Lose :True , Reward: -2063
Episode 120, Exploration Rate: 0.55, Win :False, Lose :True , Reward: -2569
Episode 121, Exploration Rate: 0.55, Win :False, Lose :True , Reward: -3320
Episode 122, Exploration Rate: 0.54, Win :False, Lose :True , Reward: -4572
Episode 123, Exploration Rate: 0.54, Win :False, Lose :True , Reward: -4854
Episode 124, Exploration Rate: 0.54, Win :False, Lose :True , Reward: -9438
Episode 125, Exploration Rate: 0.53, Win :False, Lose :True , Reward: -5108
Episode 126, Exploration Rate: 0.53, Win :False, Lose :True , Reward: -782
Episode 127, Exploration Rate: 0.53, Win :False, Lose :True , Reward: -74
Episode 128, Exploration Rate: 0.53, Win :False, Lose :True , Reward: -3422
