Episode 270, Exploration Rate: 0.26, Win :False, Lose :True , Reward: -404
Episode 271, Exploration Rate: 0.26, Win :False, Lose :True , Reward: -506
Episode 272, Exploration Rate: 0.26, Win :False, Lose :True , Reward: -900
Episode 273, Exploration Rate: 0.25, Win :False, Lose :True , Reward: -245
Episode 274, Exploration Rate: 0.25, Win :False, Lose :True , Reward: -634
Episode 275, Exploration Rate: 0.25, Win :False, Lose :True , Reward: -175
Episode 276, Exploration Rate: 0.25, Win :False, Lose :True , Reward: -204
Episode 277, Exploration Rate: 0.25, Win :False, Lose :True , Reward: -180
Episode 278, Exploration Rate: 0.25, Win :False, Lose :True , Reward: -512
Episode 279, Exploration Rate: 0.25, Win :False, Lose :True , Reward: -88
Episode 280, Exploration Rate: 0.25, Win :False, Lose :True , Reward: -748
Episode 281, Exploration Rate: 0.24, Win :False, Lose :True , Reward: -2645
Episode 282, Exploration Rate: 0.24, Win :False, Lose :True , Reward: -2206
Episode 283, Exploration Rate: 0.24, Win :False, Lose :True , Reward: -2752
Episode 284, Exploration Rate: 0.24, Win :False, Lose :True , Reward: -1612
Episode 285, Exploration Rate: 0.24, Win :False, Lose :True , Reward: -781
Episode 286, Exploration Rate: 0.24, Win :False, Lose :True , Reward: -1284
Episode 287, Exploration Rate: 0.24, Win :False, Lose :True , Reward: 1456
Episode 288, Exploration Rate: 0.24, Win :False, Lose :True , Reward: -4754
Episode 289, Exploration Rate: 0.23, Win :False, Lose :True , Reward: -35
Episode 290, Exploration Rate: 0.23, Win :False, Lose :True , Reward: 312
Episode 291, Exploration Rate: 0.23, Win :False, Lose :True , Reward: 60
Episode 292, Exploration Rate: 0.23, Win :False, Lose :True , Reward: 60
Episode 293, Exploration Rate: 0.23, Win :False, Lose :True , Reward: 2553
Episode 294, Exploration Rate: 0.23, Win :False, Lose :True , Reward: -924
Episode 295, Exploration Rate: 0.23, Win :False, Lose :True , Reward: -82
Episode 296, Exploration Rate: 0.23, Win :False, Lose :True , Reward: -942
Episode 297, Exploration Rate: 0.23, Win :False, Lose :True , Reward: -1551
Episode 298, Exploration Rate: 0.22, Win :False, Lose :True , Reward: -314
Episode 299, Exploration Rate: 0.22, Win :False, Lose :True , Reward: -92
Episode 300, Exploration Rate: 0.22, Win :False, Lose :True , Reward: -138
Episode 301, Exploration Rate: 0.22, Win :False, Lose :True , Reward: -225
Episode 302, Exploration Rate: 0.22, Win :False, Lose :True , Reward: -821
Episode 303, Exploration Rate: 0.22, Win :False, Lose :True , Reward: -704
Episode 304, Exploration Rate: 0.22, Win :False, Lose :True , Reward: -290
